sister_kid_position,sister_kid_position_text,sister_kid_position_text_ab,sister_kid_position_text_F_ab,sister_kid_position_which,sister_kid_position_which_ab,sister_kid_gender,sister_kid_position_which_gender_ab,sister_kid_status,sister_kid_aliveage,sister_kid_yemendeceased,sister_kid_dieyear,sister_kid_diemonth,sister_kid_diedage,sister_kid_governorate,sister_kid_cod,PARENT_KEY,KEY
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,7,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[2],uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,5,,,,,,,uuid:e1f8f331-3a63-4fe6-a1df-22577e6c6674/survey/siblingsyour/sister/sisteryour_kid[1],uuid:e1f8f331-3a63-4fe6-a1df-22577e6c6674/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,3,,,,,,,uuid:e1f8f331-3a63-4fe6-a1df-22577e6c6674/survey/siblingsyour/sister/sisteryour_kid[1],uuid:e1f8f331-3a63-4fe6-a1df-22577e6c6674/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,,,female,,alive,1,,,,,,,uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/sister/sisteryour_kid[2],uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,20,,,,,,,uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/sister/sisteryour_kid[1],uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,19,,,,,,,uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/sister/sisteryour_kid[1],uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,15,,,,,,,uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/sister/sisteryour_kid[1],uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,13,,,,,,,uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/sister/sisteryour_kid[1],uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,22,,,,,,,uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/sister/sisteryour_kid[1],uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,20,,,,,,,uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/sister/sisteryour_kid[1],uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,18,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[1],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
