brother_kid_position,brother_kid_position_text,brother_kid_position_text_ab,brother_kid_position_text_F_ab,brother_kid_position_which,brother_kid_position_which_ab,brother_kid_gender,brother_kid_position_which_gender_ab,brother_kid_status,brother_kid_aliveage,brother_kid_yemendeceased,brother_kid_dieyear,brother_kid_diemonth,brother_kid_diedage,brother_kid_governorate,brother_kid_cod,PARENT_KEY,KEY
0,first,الأول,الأولى,first,الأول,male,الأول,deceased,,yes,2006,,0,sanaa,unknown,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,17,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,15,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,13,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[4]
4,fifth,الخامس,الخامسة,fifth,الخامس,male,الخامس,alive,10,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[5]
5,sixth,السادس,السادسة,sixth,السادس,female,السادسة,alive,7,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[6]
6,seventh,السابع,السابعة,seventh,السابع,female,السابعة,alive,2,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[7]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,20,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[2],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,17,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[2],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,11,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[2],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,9,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[2],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[4]
0,first,الأول,الأولى,,,female,,alive,0,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[3],uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour_kid[3]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,,,female,,alive,4,,,,,,,uuid:44249f53-ec72-4740-8a7e-818b15f98d31/survey/siblingsyour/brother/brotheryour_kid[1],uuid:44249f53-ec72-4740-8a7e-818b15f98d31/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,,,female,,alive,0,,,,,,,uuid:44249f53-ec72-4740-8a7e-818b15f98d31/survey/siblingsyour/brother/brotheryour_kid[2],uuid:44249f53-ec72-4740-8a7e-818b15f98d31/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,,,male,,alive,1,,,,,,,uuid:f181c343-2478-4b69-ab2e-743df2f0347d/survey/siblingsyour/brother/brotheryour_kid[1],uuid:f181c343-2478-4b69-ab2e-743df2f0347d/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,,,male,,alive,3,,,,,,,uuid:f181c343-2478-4b69-ab2e-743df2f0347d/survey/siblingsyour/brother/brotheryour_kid[2],uuid:f181c343-2478-4b69-ab2e-743df2f0347d/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,15,,,,,,,uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/siblingsyour/brother/brotheryour_kid[1],uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,11,,,,,,,uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/siblingsyour/brother/brotheryour_kid[1],uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,4,,,,,,,uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/siblingsyour/brother/brotheryour_kid[1],uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,1,,,,,,,uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/siblingsyour/brother/brotheryour_kid[1],uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,27,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[1],uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,22,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[1],uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,22,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[1],uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,23,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[2],uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,21,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[2],uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,19,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[2],uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,13,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[2],uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[4]
4,fifth,الخامس,الخامسة,fifth,الخامس,female,الخامسة,alive,9,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[2],uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[5]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,14,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[3],uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[3]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,7,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[3],uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour_kid[3]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,deceased,,no,2020,feb,0,,,uuid:26237cff-102b-4df7-b162-03aff8615925/survey/siblingsyour/brother/brotheryour_kid[2],uuid:26237cff-102b-4df7-b162-03aff8615925/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,0,,,,,,,uuid:26237cff-102b-4df7-b162-03aff8615925/survey/siblingsyour/brother/brotheryour_kid[2],uuid:26237cff-102b-4df7-b162-03aff8615925/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,,,male,,alive,2,,,,,,,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510/survey/siblingsyour/brother/brotheryour_kid[1],uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,20,,,,,,,uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/siblingsyour/brother/brotheryour_kid[1],uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,17,,,,,,,uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/siblingsyour/brother/brotheryour_kid[1],uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,20,,,,,,,uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/siblingsyour/brother/brotheryour_kid[2],uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
